i_name,thickness,item_name,origin,itemname_with_thickness
6ملم ابيض(Trakya ),6,ابيض,Trakya,6ملم ابيض
5.5ملم ابيض(Trakya ),5.5,ابيض,Trakya,5.5ملم ابيض
5.5ملم ابيض(Trakya ),5.5,ابيض,Trakya,5.5ملم ابيض
5.5ملم ابيض(Trakya ),5.5,ابيض,Trakya,5.5ملم ابيض
5.5ملم ابيض(Trakya ),5.5,ابيض,Trakya,5.5ملم ابيض
4ملم مرايا ابيض (Tess Aluminum),4,مرايا ابيض,Tess Aluminum,4ملم مرايا ابيض
6ملم كريستال(SIS)  ايطالي,6,كريستال ايطالي,SIS,6ملم كريستال ايطالي
5ملم مرايا ابيض(Tess Aluminum),5,مرايا ابيض,Tess Aluminum,5ملم مرايا ابيض
8ملم كريستال(SIS)ايطالي,8,كريستالايطالي,SIS,8ملم كريستالايطالي
10ملم كريستال(SIS)ايطالي,10,كريستالايطالي,SIS,10ملم كريستالايطالي
12ملم كريستال(SIS)ايطالي,12,كريستالايطالي,SIS,12ملم كريستالايطالي
10ملم ابيض(Sphinx),10,ابيض,Sphinx,10ملم ابيض
8ملم عاكس LOW-E(Guardian),8,عاكس LOW-E,Guardian,8ملم عاكس LOW-E
10ملم ابيض(SISECAM ),10,ابيض,SISECAM,10ملم ابيض
6ملم برش ابيض(SISECAM ),6,برش ابيض,SISECAM,6ملم برش ابيض
6ملم برش ابيض(SISECAM ),6,برش ابيض,SISECAM,6ملم برش ابيض
8ملم عاكس اسود فاتح(SISECAM ),8,عاكس اسود فاتح,SISECAM,8ملم عاكس اسود فاتح
4ملم ابيض(SISECAM ),4,ابيض,SISECAM,4ملم ابيض
4ملم ابيض(SISECAM ),4,ابيض,SISECAM,4ملم ابيض
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
4ملم ابيض(Obeikan),4,ابيض,Obeikan,4ملم ابيض
4ملم ابيض(Obeikan),4,ابيض,Obeikan,4ملم ابيض
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
3ملم بلور.2 (Sphinx),3,بلور.2,Sphinx,3ملم بلور.2
4ملم ابيض.7(Sphinx),4,ابيض.7,Sphinx,4ملم ابيض.7
5.5ملم ابيض(ITALIA ),5.5,ابيض,ITALIA,5.5ملم ابيض
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
8ملم ابيض(ITALIA ),8,ابيض,ITALIA,8ملم ابيض
5.5ملم ازرق غامق(RIDER),5.5,ازرق غامق,RIDER,5.5ملم ازرق غامق
5.5ملم عاكس ازرق غامق(RI),5.5,عاكس ازرق غامق,RI,5.5ملم عاكس ازرق غامق
4ملم ابيض(Obeikan),4,ابيض,Obeikan,4ملم ابيض
6ملم ابيض(Obeikan),6,ابيض,Obeikan,6ملم ابيض
6ملم تريبلكس  silance(Trakya ),6,تريبلكس silance,Trakya,6ملم تريبلكس silance
8ملم ابيض جامبو(Guardian),8,ابيض جامبو,Guardian,8ملم ابيض جامبو
 10ملم ابيض جامبو (Guardian),10,ابيض جامبو,Guardian,10ملم ابيض جامبو
 12ملم ابيض جامبو(Guardian),12,ابيض جامبو,Guardian,12ملم ابيض جامبو
6ملم عاكس LOW-E(Guardian),6,عاكس LOW-E,Guardian,6ملم عاكس LOW-E
4ملم مرايا اسود(SISECAM ),4,مرايا اسود,SISECAM,4ملم مرايا اسود
3ملم بلور(SISECAM ),3,بلور,SISECAM,3ملم بلور
8ملم عاكس اسود فاتح(SISECAM ),8,عاكس اسود فاتح,SISECAM,8ملم عاكس اسود فاتح
8ملم ابيض(Obeikan),8,ابيض,Obeikan,8ملم ابيض
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
6ملم تريبلكس ابيض.2(Trakya ),6,تريبلكس ابيض.2,Trakya,6ملم تريبلكس ابيض.2
8ملم تريبلكس ابيض(ITALIA),8,تريبلكس ابيض,ITALIA,8ملم تريبلكس ابيض
10ملم تريبلكس ابيض(Trakya ),10,تريبلكس ابيض,Trakya,10ملم تريبلكس ابيض
6ملم عاكس LOW-E (Guardian),6,عاكس LOW-E,Guardian,6ملم عاكس LOW-E
8ملم عاكس LOW-E(Guardian),8,عاكس LOW-E,Guardian,8ملم عاكس LOW-E
6ملم عاكس اخضر فاتح(SISECAM),6,عاكس اخضر فاتح,SISECAM,6ملم عاكس اخضر فاتح
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
3ملم بلور (Obeikan),3,بلور,Obeikan,3ملم بلور
6ملم مشرط ابيض(Guardian),6,مشرط ابيض,Guardian,6ملم مشرط ابيض
5.5ملم ابيض(SISECAM ),5.5,ابيض,SISECAM,5.5ملم ابيض
8ملم ابيض(Obeikan),8,ابيض,Obeikan,8ملم ابيض
10ملم ابيض(Obeikan),10,ابيض,Obeikan,10ملم ابيض
10ملم تريبلكس.2 silance(SISECAM),10,تريبلكس.2 silance,SISECAM,10ملم تريبلكس.2 silance
8.2ملم تريبلكسsilance(Trakya ),8.2,تريبلكسsilance,Trakya,8.2ملم تريبلكسsilance
"8ملم تريبلكس مغشى,2(SISECAM)",8,"تريبلكس مغشى,2",SISECAM,"8ملم تريبلكس مغشى,2"
5.5ملم اسود(Sphinx Transition)T,5.5,اسودT,Sphinx Transition,5.5ملم اسودT
5.5ملم برونز(Sphinx علامTransition)TD,5.5,برونزTD,Sphinx علامTransition,5.5ملم برونزTD
 10ملم ابيض جامبو(Trakya ),10,ابيض جامبو,Trakya,10ملم ابيض جامبو
8ملم ابيض جامبو(Trakya ),8,ابيض جامبو,Trakya,8ملم ابيض جامبو
 2ملم بلور(Sphinx),2,بلور,Sphinx,2ملم بلور
6ملم ابيض جامبو(SISECAM ),6,ابيض جامبو,SISECAM,6ملم ابيض جامبو
10ملم كريستال(AGC),10,كريستال,AGC,10ملم كريستال
8ملم اخضر فاتح(SISECAM ),8,اخضر فاتح,SISECAM,8ملم اخضر فاتح
4ملم اسود(SISECAM ),4,اسود,SISECAM,4ملم اسود
5.5ملم اسود(SISECAM ),5.5,اسود,SISECAM,5.5ملم اسود
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
5ملم برونز (صيني),5,برونز,صيني,5ملم برونز
8ملم ابيض(SISECAM ),8,ابيض,SISECAM,8ملم ابيض
5.5ملم اسود(SISECAM ),5.5,اسود,SISECAM,5.5ملم اسود
3ملم مرايا ابيض((Sisecam Silver ),3,مرايا ابيض,(Sisecam Silver,3ملم مرايا ابيض
6ملم مشرط برونز(Guardian),6,مشرط برونز,Guardian,6ملم مشرط برونز
6ملم برونز(SISECAM ),6,برونز,SISECAM,6ملم برونز
6ملم برونز(SISECAM ),6,برونز,SISECAM,6ملم برونز
6ملم برونز(SISECAM ),6,برونز,SISECAM,6ملم برونز
5.5ملم ابيض(SISECAM ),5.5,ابيض,SISECAM,5.5ملم ابيض
5.5ملم برش برونز(Guardian),5.5,برش برونز,Guardian,5.5ملم برش برونز
4ملم مرايا ابيض(Trakya ),4,مرايا ابيض,Trakya,4ملم مرايا ابيض
8ملم عاكس LOW-E(Guardian),8,عاكس LOW-E,Guardian,8ملم عاكس LOW-E
10ملم عاكس اسود فاتح(SISECAM ),10,عاكس اسود فاتح,SISECAM,10ملم عاكس اسود فاتح
8ملم ابيض (IMPEX),8,ابيض,IMPEX,8ملم ابيض
8ملم ابيض (IMPEX),8,ابيض,IMPEX,8ملم ابيض
8ملم ابيض(IMPEX),8,ابيض,IMPEX,8ملم ابيض
10ملم ابيض (IMPEX),10,ابيض,IMPEX,10ملم ابيض
10ملم ابيض (IMPEX),10,ابيض,IMPEX,10ملم ابيض
12ملم ابيض (IMPEX),12,ابيض,IMPEX,12ملم ابيض
12ملم ابيض (IMPEX),12,ابيض,IMPEX,12ملم ابيض
15ملم ابيض (IMPEX),15,ابيض,IMPEX,15ملم ابيض
15ملم ابيض (IMPEX),15,ابيض,IMPEX,15ملم ابيض
10ملم تريبلكس ابيض.2(SISECAM),10,تريبلكس ابيض.2,SISECAM,10ملم تريبلكس ابيض.2
8ملم برونز (S.G),8,برونز,S.G,8ملم برونز
15ملم كريستال(AGC),15,كريستال,AGC,15ملم كريستال
8ملم ابيض(IMPEX),8,ابيض,IMPEX,8ملم ابيض
10ملم ابيض (IMPEX),10,ابيض,IMPEX,10ملم ابيض
8،2ملم تريبلكس ابيض(SISECAM),2,8، تريبلكس ابيض,SISECAM,2ملم 8، تريبلكس ابيض
8،2ملم تريبلكس ابيض(SISECAM),2,8، تريبلكس ابيض,SISECAM,2ملم 8، تريبلكس ابيض
8ملم تريبلكس ابيض(SISECAM),8,تريبلكس ابيض,SISECAM,8ملم تريبلكس ابيض
12ملم ابيض (IMPEX),12,ابيض,IMPEX,12ملم ابيض
5.5ملم برش برونز(Cairo),5.5,برش برونز,Cairo,5.5ملم برش برونز
5.5ملم ابيض(Trakya ),5.5,ابيض,Trakya,5.5ملم ابيض
10ملم ابيض(Trakya ),10,ابيض,Trakya,10ملم ابيض
5ملم مرايا برونز(SISECAM ),5,مرايا برونز,SISECAM,5ملم مرايا برونز
5.5ملم ابيض(GrandStar),5.5,ابيض,GrandStar,5.5ملم ابيض
10ملم برونز(امراتي),10,برونز,امراتي,10ملم برونز
5ملم مرايا برونز(AGC),5,مرايا برونز,AGC,5ملم مرايا برونز
4ملم مرايا برونز(AGC),4,مرايا برونز,AGC,4ملم مرايا برونز
8ملم برونز(AGC),8,برونز,AGC,8ملم برونز
8ملم برونز(AGC),8,برونز,AGC,8ملم برونز
8ملم برونز(AGC),8,برونز,AGC,8ملم برونز
5.5ملم اخضر فاتح(SISECAM ),5.5,اخضر فاتح,SISECAM,5.5ملم اخضر فاتح
6ملم مشرط ابيض(Cairo),6,مشرط ابيض,Cairo,6ملم مشرط ابيض
15ملم ابيض(AGC),15,ابيض,AGC,15ملم ابيض
5.5ملم ابيض(SISECAM ),5.5,ابيض,SISECAM,5.5ملم ابيض
5.5ملم ازرق غامق(RIDER),5.5,ازرق غامق,RIDER,5.5ملم ازرق غامق
4ملم كريستال,4,كريستال,,4ملم كريستال
8ملم كريستال(Falcon),8,كريستال,Falcon,8ملم كريستال
5ملم محجر بازل اسود,5,محجر بازل اسود,,5ملم محجر بازل اسود
5ملم محجر بازل اسود,5,محجر بازل اسود,,5ملم محجر بازل اسود
5ملم محجر بازل اسود,5,محجر بازل اسود,,5ملم محجر بازل اسود
5ملم محجر بازل اسود,5,محجر بازل اسود,,5ملم محجر بازل اسود
5ملم محجر بازل اسود,5,محجر بازل اسود,,5ملم محجر بازل اسود
 2ملم بلور(Sphinx),2,بلور,Sphinx,2ملم بلور
4ملم ياسمين اسيد ابيض,4,ياسمين اسيد ابيض,,4ملم ياسمين اسيد ابيض
8ملم ابيض جامبو(Sphinx),8,ابيض جامبو,Sphinx,8ملم ابيض جامبو
8ملم ابيض جامبو(Sphinx),8,ابيض جامبو,Sphinx,8ملم ابيض جامبو
  10ملم ابيض جامبو(Sphinx),10,ابيض جامبو,Sphinx,10ملم ابيض جامبو
4ملم سجادة اسيد ابيض(yorglas),4,سجادة اسيد ابيض,yorglas,4ملم سجادة اسيد ابيض
8ملم برش ابيض(SISECAM ),8,برش ابيض,SISECAM,8ملم برش ابيض
6ملم مغشى اسيد(Trakya),6,مغشى اسيد,Trakya,6ملم مغشى اسيد
4ملم دلتا اسيد ابيض(تركي),4,دلتا اسيد ابيض,تركي,4ملم دلتا اسيد ابيض
12ملم ابيض (IMPEX),12,ابيض,IMPEX,12ملم ابيض
12ملم ابيض (IMPEX),12,ابيض,IMPEX,12ملم ابيض
12ملم ابيض (IMPEX),12,ابيض,IMPEX,12ملم ابيض
5.5ملم اخضر غامق(SISECAM ),5.5,اخضر غامق,SISECAM,5.5ملم اخضر غامق
6ملم مغشى اسيد(Trakya),6,مغشى اسيد,Trakya,6ملم مغشى اسيد
15ملم ابيض(Shandong Fluent),15,ابيض,Shandong Fluent,15ملم ابيض
8ملم برونز(Rongsheng),8,برونز,Rongsheng,8ملم برونز
5ملم ازرق غامق,5,ازرق غامق,,5ملم ازرق غامق
6ملم ازرق غامق(Rongsheng),6,ازرق غامق,Rongsheng,6ملم ازرق غامق
5ملم عاكس ازرق غامق(Rongsheng),5,عاكس ازرق غامق,Rongsheng,5ملم عاكس ازرق غامق
5.5ملم اخضر فاتح(SISECAM ),5.5,اخضر فاتح,SISECAM,5.5ملم اخضر فاتح
10ملم برونز (S.G),10,برونز,S.G,10ملم برونز
12ملم ابيض( Kavet ),12,ابيض,Kavet,12ملم ابيض
12ملم ابيض( Kavet ),12,ابيض,Kavet,12ملم ابيض
10ملم ابيض ( Kavet  ),10,ابيض,Kavet,10ملم ابيض
5.5ملم ابيض( Kavet ),5.5,ابيض,Kavet,5.5ملم ابيض
5.5ملم اخضر غامق(SISECAM ),5.5,اخضر غامق,SISECAM,5.5ملم اخضر غامق
5.5ملم اخضر غامق(SISECAM ),5.5,اخضر غامق,SISECAM,5.5ملم اخضر غامق
5.5ملم ابيض( Kavet ),5.5,ابيض,Kavet,5.5ملم ابيض
5.5ملم ابيض,5.5,ابيض,,5.5ملم ابيض
5.5ملم ابيض( Kavet ),5.5,ابيض,Kavet,5.5ملم ابيض
10ملم ابيض ( Kavet  ),10,ابيض,Kavet,10ملم ابيض
 8ملم ابيض( Kavet ),8,ابيض,Kavet,8ملم ابيض
 8ملم ابيض( Kavet ),8,ابيض,Kavet,8ملم ابيض
10ملم ابيض ( Kavet  ),10,ابيض,Kavet,10ملم ابيض
10ملم ابيض ( Kavet  ),10,ابيض,Kavet,10ملم ابيض
5.5ملم ابيض( Kavet ),5.5,ابيض,Kavet,5.5ملم ابيض
10ملم برونز(Rongsheng),10,برونز,Rongsheng,10ملم برونز
12ملم تريبلكس ابيض.2 Silance(SISECAM),12,تريبلكس ابيض.2 Silance,SISECAM,12ملم تريبلكس ابيض.2 Silance
15ملم ابيض(AGC),15,ابيض,AGC,15ملم ابيض
 8ملم ابيض( Kavet ),8,ابيض,Kavet,8ملم ابيض
10ملم ابيض ( Kavet  ),10,ابيض,Kavet,10ملم ابيض
12ملم ابيض( Kavet ),12,ابيض,Kavet,12ملم ابيض
5.5ملم ابيض( Kavet ),5.5,ابيض,Kavet,5.5ملم ابيض
5.5ملم عاكس اخضر غامق(RIDER),5.5,عاكس اخضر غامق,RIDER,5.5ملم عاكس اخضر غامق
15ملم ابيض(Shandong Fluent),15,ابيض,Shandong Fluent,15ملم ابيض
5.5ملم ابيض( Kavet ),5.5,ابيض,Kavet,5.5ملم ابيض
15ملم ابيض( Kavet ),15,ابيض,Kavet,15ملم ابيض
4ملم مرايا ابيض(SISECAM ),4,مرايا ابيض,SISECAM,4ملم مرايا ابيض
5ملم مرايا ابيض(Trakya ),5,مرايا ابيض,Trakya,5ملم مرايا ابيض
5ملم مرايا ابيض(SISECAM ),5,مرايا ابيض,SISECAM,5ملم مرايا ابيض
5.5ملم برونز( Kavet ),5.5,برونز,Kavet,5.5ملم برونز
5.5ملم برونز( Kavet ),5.5,برونز,Kavet,5.5ملم برونز
5ملم برونز( Kavet ),5,برونز,Kavet,5ملم برونز
5ملم ابيض(SISECAM ),5,ابيض,SISECAM,5ملم ابيض
5ملم ابيض(SISECAM ),5,ابيض,SISECAM,5ملم ابيض
5ملم ابيض(SISECAM ),5,ابيض,SISECAM,5ملم ابيض
6ملم ابيض(SISECAM ),6,ابيض,SISECAM,6ملم ابيض
4ملم اسود(SISECAM ),4,اسود,SISECAM,4ملم اسود
3ملم مرايا ابيض((Sisecam Silver ),3,مرايا ابيض,(Sisecam Silver,3ملم مرايا ابيض
4ملم ابيض(SISECAM ),4,ابيض,SISECAM,4ملم ابيض
4ملم ابيض(SISECAM ),4,ابيض,SISECAM,4ملم ابيض
4ملم ابيض(SISECAM ),4,ابيض,SISECAM,4ملم ابيض
4ملم ابيض(SISECAM ),4,ابيض,SISECAM,4ملم ابيض
5ملم ابيض(SISECAM ),5,ابيض,SISECAM,5ملم ابيض
6ملم ابيض(SISECAM ),6,ابيض,SISECAM,6ملم ابيض
8ملم ابيض(SISECAM ),8,ابيض,SISECAM,8ملم ابيض
8ملم ابيض(SISECAM ),8,ابيض,SISECAM,8ملم ابيض
 2ملم بلور(PT MULIA),2,بلور,PT MULIA,2ملم بلور
8ملم تريبلكس برونز(SISECAM),8,تريبلكس برونز,SISECAM,8ملم تريبلكس برونز
8ملم تريبلكس اسود(SISECAM),8,تريبلكس اسود,SISECAM,8ملم تريبلكس اسود
6ملم عاكس اسود فاتح(SISECAM ),6,عاكس اسود فاتح,SISECAM,6ملم عاكس اسود فاتح
5.5ملم عاكس برونز( Kavet ),5.5,عاكس برونز,Kavet,5.5ملم عاكس برونز
5.5ملم ازرق فاتح(Falcon),5.5,ازرق فاتح,Falcon,5.5ملم ازرق فاتح
16ملم تريبلكس ابيض.2(SISECAM),16,تريبلكس ابيض.2,SISECAM,16ملم تريبلكس ابيض.2
12ملم تريبلكس ابيض.2(SISECAM),12,تريبلكس ابيض.2,SISECAM,12ملم تريبلكس ابيض.2
10ملم ازرق فاتح(Shandong Fluent),10,ازرق فاتح,Shandong Fluent,10ملم ازرق فاتح
12ملم اخضر فاتح(Shandong Fluent),12,اخضر فاتح,Shandong Fluent,12ملم اخضر فاتح
15ملم ابيض(Shandong Fluent),15,ابيض,Shandong Fluent,15ملم ابيض
15ملم ابيض(Shandong Fluent),15,ابيض,Shandong Fluent,15ملم ابيض
15ملم ابيض(Shandong Fluent),15,ابيض,Shandong Fluent,15ملم ابيض
5ملم ابيض(SISECAM ),5,ابيض,SISECAM,5ملم ابيض
5ملم ابيض(SISECAM ),5,ابيض,SISECAM,5ملم ابيض
12ملم ابيض(SISECAM ),12,ابيض,SISECAM,12ملم ابيض
8ملم كريستال(SISECAM),8,كريستال,SISECAM,8ملم كريستال
6ملم تريبلكس ابيض(SISECAM),6,تريبلكس ابيض,SISECAM,6ملم تريبلكس ابيض
8ملم تريبلكس ابيض(SISECAM),8,تريبلكس ابيض,SISECAM,8ملم تريبلكس ابيض
10ملم تريبلكس ابيض(SISECAM),10,تريبلكس ابيض,SISECAM,10ملم تريبلكس ابيض
12ملم تريبلكس ابيض(SISECAM),12,تريبلكس ابيض,SISECAM,12ملم تريبلكس ابيض
12ملم تريبلكس ابيض(SISECAM),12,تريبلكس ابيض,SISECAM,12ملم تريبلكس ابيض
10ملم تريبلكس.2 silance(SISECAM)                                                                  1,10,تريبلكس.2 silance 1,SISECAM,10ملم تريبلكس.2 silance 1
12ملم تريبلكس ابيض.2 Silance(SISECAM),12,تريبلكس ابيض.2 Silance,SISECAM,12ملم تريبلكس ابيض.2 Silance
19ملم ابيض(Shandong Fluent),19,ابيض,Shandong Fluent,19ملم ابيض
19ملم ابيض(Shandong Fluent),19,ابيض,Shandong Fluent,19ملم ابيض
4ملم مرايا ابيض(SISECAM,4,مرايا ابيض(SISECAM,,4ملم مرايا ابيض(SISECAM
5ملم برونز(SISECAM ),5,برونز,SISECAM,5ملم برونز
5.5ملم برونز(SISECAM ),5.5,برونز,SISECAM,5.5ملم برونز
5.5ملم اسود(Sphinx RU-2),5.5,اسود,Sphinx RU-2,5.5ملم اسود
5.5ملم اسود(Sphinx RU-3),5.5,اسود,Sphinx RU-3,5.5ملم اسود
5.5ملم اسود(Sphinx RU-3),5.5,اسود,Sphinx RU-3,5.5ملم اسود
5.5ملم اسود(Sphinx RU-3),5.5,اسود,Sphinx RU-3,5.5ملم اسود
5.5ملم اسود(Sphinx RU-3),5.5,اسود,Sphinx RU-3,5.5ملم اسود
5ملم ابيض(SISECAM ),5,ابيض,SISECAM,5ملم ابيض
5ملم مرايا ابيض(Trakya ),5,مرايا ابيض,Trakya,5ملم مرايا ابيض
5ملم مرايا ابيض(SISECAM ),5,مرايا ابيض,SISECAM,5ملم مرايا ابيض
5ملم مرايا ابيض(SISECAM ),5,مرايا ابيض,SISECAM,5ملم مرايا ابيض
4ملم مرايا اسود(SISECAM ),4,مرايا اسود,SISECAM,4ملم مرايا اسود
6ملم عاكس برونز(SISECAM ),6,عاكس برونز,SISECAM,6ملم عاكس برونز
5ملم اسود(SISECAM ),5,اسود,SISECAM,5ملم اسود
5ملم برونز(SISECAM ),5,برونز,SISECAM,5ملم برونز
5.5ملم ابيض,5.5,ابيض,,5.5ملم ابيض
5.5ملم ابيض,5.5,ابيض,,5.5ملم ابيض
5.5ملم ابيض,5.5,ابيض,,5.5ملم ابيض
5.5ملم ابيض,5.5,ابيض,,5.5ملم ابيض
8ملم تريبلكس مغشى(SISECAM),8,تريبلكس مغشى,SISECAM,8ملم تريبلكس مغشى
8ملم ابيض( Kavet ),8,ابيض,Kavet,8ملم ابيض
10ملم ابيض(GrandStar),10,ابيض,GrandStar,10ملم ابيض
12ملم ابيض(RIDER),12,ابيض,RIDER,12ملم ابيض
12ملم ابيض(RIDER),12,ابيض,RIDER,12ملم ابيض
5ملم عاكس اخضر غامق.3 (R),5,عاكس اخضر غامق.3,R,5ملم عاكس اخضر غامق.3
4ملم ابيض(RIDER),4,ابيض,RIDER,4ملم ابيض
5ملم برش اسود(REXI),5,برش اسود,REXI,5ملم برش اسود
4ملم محجر صليب ابيض(REXI),4,محجر صليب ابيض,REXI,4ملم محجر صليب ابيض
4ملم محجر صليب ابيض(RIDER),4,محجر صليب ابيض,RIDER,4ملم محجر صليب ابيض
12ملم ابيض(RIDER),12,ابيض,RIDER,12ملم ابيض
12ملم ابيض(RIDER),12,ابيض,RIDER,12ملم ابيض
5.5ملم ازرق فاتح(Falcon),5.5,ازرق فاتح,Falcon,5.5ملم ازرق فاتح
4ملم مرايا ابيض(Majed Global),4,مرايا ابيض,Majed Global,4ملم مرايا ابيض
5ملم مرايا ابيض(Silver Joyo),5,مرايا ابيض,Silver Joyo,5ملم مرايا ابيض
12ملم ابيض(RIDER),12,ابيض,RIDER,12ملم ابيض
12ملم ابيض(RIDER),12,ابيض,RIDER,12ملم ابيض
6ملم مدهون اسود(Trakya ),6,مدهون اسود,Trakya,6ملم مدهون اسود
12ملم ابيض(Rider Malizia x.w.g),12,ابيض,Rider Malizia x.w.g,12ملم ابيض
 5.5ملم برونز(Rider Lanshin),5.5,برونز,Rider Lanshin,5.5ملم برونز
5.5ملم عاكس برونز(Rider Lanshin),5.5,عاكس برونز,Rider Lanshin,5.5ملم عاكس برونز
6ملم مغشى اسيد(Rider),6,مغشى اسيد,Rider,6ملم مغشى اسيد
8ملم مغشى اسيد(Rider),8,مغشى اسيد,Rider,8ملم مغشى اسيد
4ملم مغشى اسيد(Rider),4,مغشى اسيد,Rider,4ملم مغشى اسيد
6ملم مغشى اسيد,6,مغشى اسيد,,6ملم مغشى اسيد
8ملم كريستال(Majed P.P.G),8,كريستال,Majed P.P.G,8ملم كريستال
5ملم مرايا ابيض(Majed Global),5,مرايا ابيض,Majed Global,5ملم مرايا ابيض
4ملم مرايا ابيض(Majed Global),4,مرايا ابيض,Majed Global,4ملم مرايا ابيض
6ملم مرايا ابيض(Majed Global),6,مرايا ابيض,Majed Global,6ملم مرايا ابيض
6ملم كريستال(Majed P.P.G),6,كريستال,Majed P.P.G,6ملم كريستال
10ملم كريستال(Majed P.P.G),10,كريستال,Majed P.P.G,10ملم كريستال
6ملم كريستال(Majed P.P.G),6,كريستال,Majed P.P.G,6ملم كريستال
6ملم مشرط ابيض(Tess Jinging),6,مشرط ابيض,Tess Jinging,6ملم مشرط ابيض
10ملم ابيض(Guardian),10,ابيض,Guardian,10ملم ابيض
10ملم ابيض(Guardian),10,ابيض,Guardian,10ملم ابيض
5.5ملم ابيض(Guardian),5.5,ابيض,Guardian,5.5ملم ابيض
8ملم ابيض(Guardian),8,ابيض,Guardian,8ملم ابيض
8ملم ابيض(Guardian),8,ابيض,Guardian,8ملم ابيض
8ملم اسود(Majed s.g.g),8,اسود,Majed s.g.g,8ملم اسود
10ملم اسود(Majed s.g.g),10,اسود,Majed s.g.g,10ملم اسود
12ملم اسود(Majed s.g.g),12,اسود,Majed s.g.g,12ملم اسود
12ملم اسود(Majed s.g.g),12,اسود,Majed s.g.g,12ملم اسود
10ملم كريستال(Falcon),10,كريستال,Falcon,10ملم كريستال
3ملم مرايا ابيض(Majed Global),3,مرايا ابيض,Majed Global,3ملم مرايا ابيض
5ملم اسود(SISECAM ),5,اسود,SISECAM,5ملم اسود
5ملم ابيض(SISECAM ),5,ابيض,SISECAM,5ملم ابيض
8ملم ابيض(GrandStar),8,ابيض,GrandStar,8ملم ابيض
10ملم ابيض,10,ابيض,,10ملم ابيض
10ملم ابيض( Kavet ),10,ابيض,Kavet,10ملم ابيض
10ملم ابيض,10,ابيض,,10ملم ابيض
10ملم ابيض,10,ابيض,,10ملم ابيض
5.5ملم ابيض,5.5,ابيض,,5.5ملم ابيض
5.5ملم ابيض,5.5,ابيض,,5.5ملم ابيض
8ملم ابيض(GrandStar),8,ابيض,GrandStar,8ملم ابيض
5ملم ابيض( Kavet ),5,ابيض,Kavet,5ملم ابيض
12ملم ابيض(Sphinx),12,ابيض,Sphinx,12ملم ابيض
12ملم ابيض(Sphinx),12,ابيض,Sphinx,12ملم ابيض
12ملم ابيض(Sphinx),12,ابيض,Sphinx,12ملم ابيض
5ملم ابيض( Kavet ),5,ابيض,Kavet,5ملم ابيض
5ملم ابيض( Kavet ),5,ابيض,Kavet,5ملم ابيض
5ملم ابيض( Kavet ),5,ابيض,Kavet,5ملم ابيض
8ملم ابيض(GrandStar),8,ابيض,GrandStar,8ملم ابيض
8ملم ابيض( Kavet ),8,ابيض,Kavet,8ملم ابيض
6ملم مشرط ابيض(Cairo),6,مشرط ابيض,Cairo,6ملم مشرط ابيض
15ملم ابيض (S.G),15,ابيض,S.G,15ملم ابيض
15ملم ابيض (S.G),15,ابيض,S.G,15ملم ابيض
19ملم ابيض (S.G),19,ابيض,S.G,19ملم ابيض
5ملم ابيض( Kavet ),5,ابيض,Kavet,5ملم ابيض
4ملم مرايا ابيض (S.G),4,مرايا ابيض,S.G,4ملم مرايا ابيض
4ملم مرايا ابيض (S.G),4,مرايا ابيض,S.G,4ملم مرايا ابيض
5ملم مرايا ابيض(S.G),5,مرايا ابيض,S.G,5ملم مرايا ابيض
6ملم مرايا ابيض(S.G),6,مرايا ابيض,S.G,6ملم مرايا ابيض
5ملم مرايا ابيض(S.G),5,مرايا ابيض,S.G,5ملم مرايا ابيض
8ملم عاكس ابيض(S.G),8,عاكس ابيض,S.G,8ملم عاكس ابيض
8ملم عاكس ابيض(S.G),8,عاكس ابيض,S.G,8ملم عاكس ابيض
5.5ملم برش برونز(Cairo),5.5,برش برونز,Cairo,5.5ملم برش برونز
5ملم ابيض( Kavet ),5,ابيض,Kavet,5ملم ابيض
10ملم مغشى اسيد(Rir),10,مغشى اسيد,Rir,10ملم مغشى اسيد
3ملم مرايا ابيض(Aluminum Joyo),3,مرايا ابيض,Aluminum Joyo,3ملم مرايا ابيض
6ملم مشرط ابيض(Qingdao Jinjing),6,مشرط ابيض,Qingdao Jinjing,6ملم مشرط ابيض
