id,supplierAccountNumber,supplierName,firstName,middleName,area,companyType,paymentTerms,currencyId,address,phoneNumber,financialNumber,vat,accountId
5356,40110032,GOLDEN FALCON,,,,,,1,,,,11,170
5358,40110033,XINYI GROUP,,,,,,1,,,,11,170
5421,40110034,BRILLIANT HAUS LIMITED,Majed,,,,,1,,,,11,170
5423,40110035,TENGZHOU JINJING,,,,,,1,,,,11,170
5859,40110036,QINGDAO SHINING,Tess,,,,,1,,,,11,170
5425,40110037,QINGDAO JINJING,Majed,,,,,1,,,,11,170
5844,40110038,SIAM PATTERN GLASS,Majed,,,,,1,,,,11,170
5849,40110039,PILKINGTON UNITED KINGDOM,,,,,,4,,,,11,170
5850,40110040,CHINA GLASS GROUP,Majed/Ali Jaber,,,,,1,,,,11,170
5853,40110041,GUARDIAN EGYPT GLASS,,,,,,1,,,,11,170
5854,40110042,GUARDIAN INDUSTRIES RAYONG,,,,,,1,,,,11,170
5860,40110043,Xiangshi  ECO Glass,,,,,,1,,,,11,170
5861,40110044,ALFA GROUP INTERNATIONAL,,,,,,1,,,,11,170
5862,40110045,TG QINGDAO GLASS CO.,,,,,,1,,,,11,170
5863,40110046,DEKOR GLASS,,,,,,1,,,,11,170
5866,40110047,TAIWAN GLASS,,,,,,1,,,,11,170
5867,40110048,TANGZHOU BANGMEI MIRROR,,,,,,1,,,,11,170
5868,40110049,P.F.G. GROUP,,,,,,1,,,,11,170
5869,40110050,QINGDAO REXI,Ali Jaber,,,,,1,,,,11,170
5870,40110051,T.G HUANAN GLASS CO .,,,,,,1,,,,11,170
5872,40110052,"Qingdao Phoenix Glass Co., LTD",Farid Slim,,,,,1,,,,11,170
5874,40110053,SHANGHAI  XIANGSHI,Majed,,,,,1,,,,11,170
5888,40110054,Benxi Yujing Glass,Majed,,,,,1,,,,11,170
5852,40110055,GUARDIAN ZOUJAJ,,,,,,1,,,,11,170
5903,40110056,Emirates Float Glass,,,,,,1,,,,11,170
5910,40110057,AGC Obeikan,,,,,,1,,,,11,170
5917,40110058,Shandong Jinjing,,,,,,1,,,,11,170
5918,40110059,Obeikan Glass Company,,,,,,1,,,,11,170
5934,40110060,QINGDAO KING TAI,Sunny,,,,,1,,,,11,170
5939,40110061,Tengzhou Yushuo Glass Technology Co. Ltd,Majed,,,,,1,,,,11,170
9041,40110062,SISECAM ITALY,,,,,,1,,,,11,170
9546,40110063,WEIHAI CNG COATED,,,,,,1,,,,11,170
10360,40110064,Shandong Float Glass,Tess,,,,,1,,,,11,170
11407,40110065,Shandong Fluent Glass,Tess,,,,,1,,,,11,170
11518,40110066,شركة ELECTRA,محمد عقيل,,,New Customers,,1,الشويفات,05-490111,,11,170
11846,40110067,IMPEX GmbH Float Glass Supplier,,,,,,1,Koln - Germany,,,11,170
11894,40110068,RongSheng Glass Nigeria Limited,,,,,,1,,,,11,170
11904,40110069,محمود الحلاق,,,,,,1,,,,11,170
11914,40110070,شركة صرار للزجاج والمرايا,,,,,,1,عمان - الاردن,,,11,170
11936,40110071,Kaveh Glass,,,,,,1,,,,11,170
11939,40110072,MULIA GLASS,,,,,,1,,,,11,170
11949,40110073,KHALDI TRADING,,,,,,1,,,,11,170
12029,40110074,Thai Patterned Glass Limited,,,,,,1,,,,11,170
12057,40110075,Qingdao Reliance Industry Co. LTD,Ali Jaber,,,,,1,,,,11,170
12060,40110076,AUSTRALIA LANDSON,Ali Jaber,,,,,1,,,,11,170
12066,40110077,"Heshan Xida Trading Co.,LTD",Ali Jaber,,,,,1,,,,11,170
12062,40110078,Tianjin Luck Glass Technology,Ali Jaber,,,,,1,,,,11,170
12064,40110079,Qingdao Joyo,Ali Jaber,,,,,1,,,,11,170
12080,40110080,Qingdao Vanguard Glass,Ali Jaber,,,,,1,,,,11,170
12082,40110081,Bisheng Glass,Ali Jaber,,,,,1,,,,11,170
12180,40110082,BRG Glass,Ali Jaber,,,,,1,,,,11,170
12183,40110083,Noval Glass,Majed/Ali Jaber,,,,,1,,,,11,170
12185,40110084,Shahe Biyoute,Ali Jaber,,,,,1,,,,11,170
12186,40110085,Shandong Sunshine,Majed,,,,,1,,,,11,170
5357,40110086,QINGDAO HAISEN,Majed,,,,,1,,,,11,170
12203,40110087,Qingdao Easen,Summer,,,,,1,,,,11,170
12228,40110088,Qingdao Orient Industry,,,,,,1,,,,11,170
12229,40110089,Allen Glass,,,,,,1,,,,11,170
12235,40110090,Sahand Glass,,,,,,1,,,,11,170
12252,40110091,Corpotrade,,,,,,1,,,,11,170
12254,40110092,Grand Star Company,عمر بساطة,,,,,1,دمشق - سوريا,,,11,170
12279,40110093,شمعون و بساطة -  حساب مشترك معمل ايران,,,,,,1,,,,11,170
12281,40110094,Qingdao Lanmo,,,,,,1,,,,11,170
12282,40110095,شريف غروب,شريف غروب,,,,,1,حارة حريك,01-858475,,11,170
12283,40110096,عمر بساطة - بضاعة ايران الى سوريا,,,,,,1,,,,11,170
12284,40110097,عمر بساطة - نقل سوريا لبنان + مرتجع جمالونات,,,,,,1,,,,11,170
12287,40110098,بساطة - شمعون - بضاعة ايران الى لبنان,,,,,,1,,,,11,170
12288,40110099,حساب استلام جمالونات عمر بساطة,,,,,,1,,,,11,170
12289,40110100,عمر بساطة - حساب ايران - مقاصة,,,,,,1,,,,11,170
12298,40110101,بساطة - شمعون -حساب شراكة,,,,,,1,,,,11,170
